timestamp,person,mac,action,hour,day_of_week,stay_duration_min,rssi,people_inside,is_anomaly
2025-02-10 10:51:36,Hardik,79:47:0e:74:97:a1,ENTER,10,0,73,-65,1,0
2025-02-10 12:04:36,Hardik,79:47:0e:74:97:a1,EXIT,12,0,73,-56,0,0
2025-02-10 15:16:57,Ekaansh,aa:bb:cc:dd:ee:01,ENTER,15,0,72,-49,1,0
2025-02-10 16:28:57,Ekaansh,aa:bb:cc:dd:ee:01,EXIT,16,0,72,-56,0,0
2025-02-11 09:27:52,Hardik,79:47:0e:74:97:a1,ENTER,9,1,86,-53,1,0
2025-02-11 10:53:52,Hardik,79:47:0e:74:97:a1,EXIT,10,1,86,-55,0,0
2025-02-11 16:02:34,Ekaansh,aa:bb:cc:dd:ee:01,ENTER,16,1,67,-53,1,0
2025-02-11 17:09:34,Ekaansh,aa:bb:cc:dd:ee:01,EXIT,17,1,67,-55,0,0
2025-02-12 11:36:23,Prof,aa:bb:cc:dd:ee:02,ENTER,11,2,122,-63,1,0
2025-02-12 13:38:23,Prof,aa:bb:cc:dd:ee:02,EXIT,13,2,122,-51,0,0
2025-02-12 16:23:33,Ekaansh,aa:bb:cc:dd:ee:01,ENTER,16,2,46,-45,1,0
2025-02-12 17:09:33,Ekaansh,aa:bb:cc:dd:ee:01,EXIT,17,2,46,-58,0,0
2025-02-13 07:16:47,UNKNOWN,ff:27:60:19:1e:5e,UNAUTHORIZED,7,3,0,-57,0,1
2025-02-13 09:21:37,Hardik,79:47:0e:74:97:a1,ENTER,9,3,94,-63,1,0
2025-02-13 10:55:37,Hardik,79:47:0e:74:97:a1,EXIT,10,3,94,-46,0,0
2025-02-13 13:46:43,Prof,aa:bb:cc:dd:ee:02,ENTER,13,3,115,-58,1,0
2025-02-13 15:37:00,Ekaansh,aa:bb:cc:dd:ee:01,ENTER,15,3,37,-61,2,0
2025-02-13 15:41:43,Prof,aa:bb:cc:dd:ee:02,EXIT,15,3,115,-53,1,0
2025-02-13 16:14:00,Ekaansh,aa:bb:cc:dd:ee:01,EXIT,16,3,37,-63,0,0
2025-02-14 09:12:53,Hardik,79:47:0e:74:97:a1,ENTER,9,4,111,-48,1,0
2025-02-14 09:42:59,Prof,aa:bb:cc:dd:ee:02,ENTER,9,4,107,-60,2,0
2025-02-14 11:03:53,Hardik,79:47:0e:74:97:a1,EXIT,11,4,111,-51,1,0
2025-02-14 11:29:59,Prof,aa:bb:cc:dd:ee:02,EXIT,11,4,107,-49,0,0
2025-02-14 12:23:39,Ekaansh,aa:bb:cc:dd:ee:01,ENTER,12,4,54,-51,1,0
2025-02-14 13:17:39,Ekaansh,aa:bb:cc:dd:ee:01,EXIT,13,4,54,-49,0,0
2025-02-15 10:35:57,Prof,aa:bb:cc:dd:ee:02,ENTER,10,5,132,-46,1,0
2025-02-15 12:47:57,Prof,aa:bb:cc:dd:ee:02,EXIT,12,5,132,-59,0,0
2025-02-17 10:39:18,Ekaansh,aa:bb:cc:dd:ee:01,ENTER,10,0,66,-53,1,0
2025-02-17 11:19:00,Prof,aa:bb:cc:dd:ee:02,ENTER,11,0,117,-49,2,0
2025-02-17 11:45:18,Ekaansh,aa:bb:cc:dd:ee:01,EXIT,11,0,66,-51,1,0
2025-02-17 13:16:00,Prof,aa:bb:cc:dd:ee:02,EXIT,13,0,117,-50,0,0
2025-02-17 15:17:27,Hardik,79:47:0e:74:97:a1,ENTER,15,0,91,-51,1,0
2025-02-17 16:48:27,Hardik,79:47:0e:74:97:a1,EXIT,16,0,91,-63,0,0
2025-02-18 09:16:48,Prof,aa:bb:cc:dd:ee:02,ENTER,9,1,120,-57,1,0
2025-02-18 09:58:34,Hardik,79:47:0e:74:97:a1,ENTER,9,1,90,-64,2,0
2025-02-18 10:53:36,Ekaansh,aa:bb:cc:dd:ee:01,ENTER,10,1,59,-49,3,0
2025-02-18 11:16:48,Prof,aa:bb:cc:dd:ee:02,EXIT,11,1,120,-52,2,0
2025-02-18 11:28:34,Hardik,79:47:0e:74:97:a1,EXIT,11,1,90,-51,1,0
2025-02-18 11:52:36,Ekaansh,aa:bb:cc:dd:ee:01,EXIT,11,1,59,-65,0,0
2025-02-19 08:03:56,Prof,aa:bb:cc:dd:ee:02,ENTER,8,2,123,-63,1,0
2025-02-19 10:06:56,Prof,aa:bb:cc:dd:ee:02,EXIT,10,2,123,-46,0,0
2025-02-19 11:00:55,Hardik,79:47:0e:74:97:a1,ENTER,11,2,86,-58,1,0
2025-02-19 12:26:55,Hardik,79:47:0e:74:97:a1,EXIT,12,2,86,-62,0,0
2025-02-19 14:57:10,Ekaansh,aa:bb:cc:dd:ee:01,ENTER,14,2,55,-58,1,0
2025-02-19 15:52:10,Ekaansh,aa:bb:cc:dd:ee:01,EXIT,15,2,55,-64,0,0
2025-02-20 09:15:26,Hardik,79:47:0e:74:97:a1,ENTER,9,3,93,-50,1,0
2025-02-20 09:18:52,Prof,aa:bb:cc:dd:ee:02,ENTER,9,3,140,-54,2,0
2025-02-20 10:48:26,Hardik,79:47:0e:74:97:a1,EXIT,10,3,93,-54,1,0
2025-02-20 11:38:52,Prof,aa:bb:cc:dd:ee:02,EXIT,11,3,140,-64,0,0
2025-02-20 11:46:10,Ekaansh,aa:bb:cc:dd:ee:01,ENTER,11,3,29,-62,1,0
2025-02-20 12:15:10,Ekaansh,aa:bb:cc:dd:ee:01,EXIT,12,3,29,-65,0,0
2025-02-21 10:56:31,Prof,aa:bb:cc:dd:ee:02,ENTER,10,4,99,-56,1,0
2025-02-21 12:35:31,Prof,aa:bb:cc:dd:ee:02,EXIT,12,4,99,-57,0,0
2025-02-21 13:20:46,Hardik,79:47:0e:74:97:a1,ENTER,13,4,106,-64,1,0
2025-02-21 15:06:46,Hardik,79:47:0e:74:97:a1,EXIT,15,4,106,-49,0,0
2025-02-21 21:47:01,Ekaansh,aa:bb:cc:dd:ee:01,ENTER,21,4,200,-61,1,1
2025-02-22 01:07:01,Ekaansh,aa:bb:cc:dd:ee:01,EXIT,1,4,200,-45,0,1
